Node 0,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23,Node 24,Node 25,Node 26,Node 27,Node 28,Node 29,Node 30,Node 31,Node 32,Node 33,Node 34,Node 35,Node 36,Node 37,Node 38,Node 39,Node 40,Node 41,Node 42,Node 43,Node 44,Node 45,Node 46,Node 47,Node 48,Node 49,Node 50,Node 51,Node 52,Node 53,Node 54,Node 55,Node 56,Node 57,Node 58,Node 59,Node 60,Node 61,Node 62,Node 63,Node 64,Node 65,Node 66,Node 67,Node 68,Node 69,Node 70,Node 71,Node 72,Node 73,Node 74,Node 75,Node 76,Node 77,Node 78,Node 79,Node 80,Node 81,Node 82,Node 83,Node 84,Node 85,Node 86,Node 87,Node 88,Node 89,Node 90,Node 91,Node 92,Node 93,Node 94,Node 95,Node 96,Node 97,Node 98,Node 99,ns since start
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669294600
2,2,2,3,4,4,2,3,2,1,3,1,1,3,3,4,2,3,3,1,5,3,3,3,2,3,3,1,3,2,2,1,2,3,3,2,2,3,3,1,5,2,2,2,4,1,3,4,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,3,2,3,2,1,4,3,2,2,2,3,2,2,2,2,1,2,2,3,3,2,3,3,3,1,2,3,1,3,2,1,2,2,3,2,3,2,1019345900
7,8,7,7,8,6,9,9,9,7,7,10,8,6,8,6,8,9,7,7,7,6,8,7,6,5,7,7,8,9,7,9,9,7,8,10,9,6,8,6,7,9,6,7,9,6,9,7,7,6,7,7,8,7,8,8,7,7,8,7,6,8,8,7,7,8,8,7,9,7,8,7,8,5,8,8,9,6,7,9,8,9,6,7,7,9,9,7,7,6,7,7,9,8,7,7,10,7,7,7,1281108000
9,9,9,8,9,8,9,10,10,11,8,12,9,10,10,13,9,9,8,11,9,11,9,11,9,9,9,9,8,11,9,9,9,10,9,11,10,12,11,10,8,10,10,9,11,8,9,9,11,8,10,9,11,10,11,9,11,9,11,8,11,10,8,8,10,9,10,9,10,10,9,11,11,11,9,10,10,8,11,12,10,10,8,11,7,10,10,8,8,8,10,9,10,12,10,11,10,11,11,10,1394841300
11,11,12,11,12,11,11,13,11,11,12,12,11,12,12,13,12,12,12,13,12,13,11,11,10,11,12,12,12,11,11,12,12,13,11,13,12,14,11,12,12,11,13,11,12,12,9,13,12,10,12,11,14,12,12,11,11,12,13,12,11,12,11,11,11,10,12,12,11,11,11,12,12,11,11,13,11,11,11,12,12,12,11,12,9,13,11,12,8,11,13,12,10,13,12,13,13,12,11,10,1482944800
11,11,12,11,12,11,11,13,11,11,12,12,11,12,12,13,12,12,12,13,12,13,11,11,10,11,12,12,12,11,11,12,12,13,11,13,12,14,11,12,12,11,13,11,12,12,9,13,12,10,12,11,14,12,12,11,11,12,13,12,11,12,11,11,11,11,12,12,11,11,11,12,12,11,11,13,11,11,11,12,12,12,11,12,10,13,11,12,8,11,13,12,10,13,12,13,13,12,11,10,1490124600
15,15,16,15,16,13,14,14,13,13,14,14,13,14,14,15,16,15,16,15,16,15,16,16,14,15,16,14,15,13,13,13,14,17,14,14,16,16,14,15,15,14,16,14,16,15,16,16,14,14,15,15,15,17,14,15,13,15,15,15,14,13,13,15,16,15,15,15,16,15,14,14,13,15,16,13,14,15,13,13,14,16,14,15,15,15,14,14,14,14,15,15,14,13,16,15,15,13,16,15,1598361500
19,18,18,17,18,19,20,17,18,17,19,18,17,18,20,17,18,19,18,19,20,20,20,19,15,17,16,19,18,15,17,18,17,20,18,18,19,19,16,17,20,18,20,16,20,18,19,17,19,20,19,18,17,17,19,18,19,18,17,20,16,17,17,19,17,17,17,16,20,18,16,19,20,21,20,17,19,19,18,18,19,20,19,19,17,18,19,18,18,18,18,20,18,17,19,18,18,18,20,21,1700049700
20,20,20,19,20,20,21,18,19,19,20,19,21,19,20,20,20,19,21,22,20,20,21,21,18,20,20,21,19,17,20,20,20,20,21,21,20,20,17,18,21,19,21,19,23,18,20,19,22,21,21,20,21,20,23,21,19,20,18,20,17,19,20,21,20,19,19,18,20,18,18,21,21,21,21,20,20,22,19,19,20,21,20,22,18,20,20,21,19,19,19,21,19,19,20,20,20,20,21,22,1770873500
23,23,23,24,24,22,22,23,22,22,22,22,23,23,23,23,23,23,22,23,22,22,23,23,23,22,23,23,23,23,23,22,22,22,23,22,23,23,22,21,23,23,23,22,23,23,22,22,23,23,21,23,24,23,23,22,22,23,22,22,23,23,23,23,22,22,23,23,22,23,22,23,22,23,23,23,23,23,22,22,22,23,23,23,23,23,22,23,22,22,22,23,23,23,23,22,23,23,24,23,1863864400
