Node 0,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23,Node 24,Node 25,Node 26,Node 27,Node 28,Node 29,Node 30,Node 31,Node 32,Node 33,Node 34,Node 35,Node 36,Node 37,Node 38,Node 39,Node 40,Node 41,Node 42,Node 43,Node 44,Node 45,Node 46,Node 47,Node 48,Node 49,Node 50,Node 51,Node 52,Node 53,Node 54,Node 55,Node 56,Node 57,Node 58,Node 59,Node 60,Node 61,Node 62,Node 63,Node 64,Node 65,Node 66,Node 67,Node 68,Node 69,Node 70,Node 71,Node 72,Node 73,Node 74,Node 75,Node 76,Node 77,Node 78,Node 79,Node 80,Node 81,Node 82,Node 83,Node 84,Node 85,Node 86,Node 87,Node 88,Node 89,Node 90,Node 91,Node 92,Node 93,Node 94,Node 95,Node 96,Node 97,Node 98,Node 99,ns since start
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249874100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331050100
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373522700
1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,474402300
2,2,4,4,2,3,2,3,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,1,2,1,2,0,2,1,3,2,1,1,2,2,3,1,2,1,2,1,1,2,0,3,2,0,1,2,2,2,2,0,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,3,3,2,2,3,1,1,0,3,2,1,1,1,0,1,1,1,1,2,0,0,0,1,2,1,3,1,2,2,572677300
4,4,4,4,5,6,4,4,4,5,3,3,4,3,4,4,3,3,3,4,4,5,3,4,5,4,3,3,2,4,4,3,4,3,2,3,3,3,4,4,4,3,4,3,3,4,4,3,5,4,5,4,3,4,3,3,3,4,4,4,4,4,2,4,4,3,4,3,5,4,4,4,5,4,4,4,3,4,3,4,2,3,3,4,3,3,4,4,3,4,3,3,2,3,3,4,4,4,3,4,674104800
6,6,6,6,6,6,8,6,6,7,6,6,6,6,7,7,6,5,5,6,7,6,6,6,7,6,4,5,4,6,7,6,6,4,5,5,5,5,6,7,5,6,7,5,5,7,6,6,7,6,6,6,5,7,6,6,5,6,7,7,6,6,6,6,6,6,6,6,6,7,6,5,6,6,6,5,5,6,7,7,6,4,5,5,6,6,5,7,5,6,7,6,5,6,5,7,5,7,6,5,772365200
9,9,9,8,8,8,10,8,8,8,10,9,9,9,9,8,7,8,9,8,10,8,11,10,10,9,8,8,10,9,9,9,10,7,9,8,9,9,8,9,9,8,11,8,10,8,8,9,9,8,8,8,9,8,9,9,8,7,9,10,9,10,9,8,9,10,8,10,8,9,10,8,10,8,9,8,9,7,10,9,7,7,8,9,9,10,9,9,10,10,8,9,9,10,8,9,9,9,9,8,895703000
12,11,12,10,12,12,11,9,13,13,11,11,12,12,12,13,12,11,10,11,11,12,11,11,12,10,10,9,10,11,10,10,11,11,12,10,11,13,11,10,10,11,11,10,11,10,10,12,13,10,10,10,11,9,11,11,10,10,11,13,11,11,12,10,11,12,10,10,11,11,12,11,13,12,11,11,11,11,11,11,12,12,10,11,14,10,11,11,12,11,11,12,11,11,11,10,13,13,10,12,1031278300
14,15,13,16,14,13,15,10,15,14,12,13,14,14,13,13,15,16,13,14,16,15,13,14,14,13,12,15,12,14,12,12,12,12,12,14,13,15,15,11,14,13,14,11,14,12,11,14,14,15,13,14,16,14,14,12,12,12,13,13,11,14,13,13,13,15,16,14,13,14,15,14,15,14,14,12,13,14,13,14,12,15,14,13,14,14,13,14,15,13,12,14,15,14,13,15,14,15,15,15,1127200000
